name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Nick1,8.7,3.3,1.07911,1.19605,5.4,8.7,0,Stereo,Separated,Near,Oblique,0,0
Nick1,8.7,3.3,1.19279,0.878289,5.4,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,3.3,1.18563,0.882029,8.7,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,3.3,0.822006,1.03781,8.7,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,0.4125,1.15681,1.13915,8.7,8.2875,1,Stereo,Separated,Near,Oblique,1,1
Nick1,8.7,0.4125,0.991666,1.04941,8.2875,8.7,0,Stereo,Separated,Projective,Oblique,0,0
Nick1,8.7,0.4125,1.1726,0.928703,8.2875,8.7,0,Stereo,No_Separation,Near,Oblique,1,1
Nick1,8.7,0.4125,1.11097,0.854023,8.7,8.2875,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick1,8.7,0,0.832907,0.977037,8.7,8.7,1,Stereo,Separated,Near,Oblique,1,1
Nick1,8.7,0,0.945099,1.17749,8.7,8.7,1,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,0,0.88564,1.04921,8.7,8.7,1,Stereo,No_Separation,Near,Oblique,1,1
Nick1,8.7,0,0.846511,0.860798,8.7,8.7,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick1,8.7,0.20625,1.17763,0.919661,8.7,8.49375,1,Stereo,Separated,Near,Oblique,0,0
Nick1,8.7,0.20625,1.00246,0.915228,8.49375,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,0.20625,1.12343,0.913834,8.7,8.49375,1,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,0.20625,0.874758,0.864015,8.49375,8.7,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,0.825,0.873123,1.17491,8.7,7.875,1,Stereo,Separated,Near,Oblique,1,1
Nick1,8.7,0.825,0.942468,0.911778,8.7,7.875,1,Stereo,Separated,Projective,Oblique,0,0
Nick1,8.7,0.825,0.95062,0.845796,7.875,8.7,0,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,0.825,1.10939,1.16639,8.7,7.875,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,1.65,0.953751,0.81699,8.7,7.05,1,Stereo,Separated,Near,Oblique,0,0
Nick1,8.7,1.65,0.857799,0.835492,7.05,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,1.65,1.07761,1.08642,8.7,7.05,1,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,1.65,0.876894,1.1753,8.7,7.05,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,3.3,0.865752,1.0563,8.7,5.4,1,Stereo,Separated,Near,Oblique,1,1
Nick1,8.7,3.3,0.864533,1.1003,5.4,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,3.3,1.17273,1.03216,5.4,8.7,0,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,3.3,0.869671,1.19303,8.7,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,0.4125,0.920722,0.946171,8.7,8.2875,1,Stereo,Separated,Near,Oblique,1,1
Nick1,8.7,0.4125,1.07395,0.86526,8.7,8.2875,1,Stereo,Separated,Projective,Oblique,0,0
Nick1,8.7,0.4125,1.05674,1.16274,8.2875,8.7,0,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,0.4125,0.945244,1.0211,8.7,8.2875,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,0,1.16047,0.96767,8.7,8.7,1,Stereo,Separated,Near,Oblique,0,0
Nick1,8.7,0,0.969762,1.03755,8.7,8.7,1,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,0,0.880913,1.11618,8.7,8.7,1,Stereo,No_Separation,Near,Oblique,1,1
Nick1,8.7,0,0.887249,0.89938,8.7,8.7,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick1,8.7,0.20625,0.990503,1.12008,8.7,8.49375,1,Stereo,Separated,Near,Oblique,1,1
Nick1,8.7,0.20625,0.857799,0.804247,8.7,8.49375,1,Stereo,Separated,Projective,Oblique,0,0
Nick1,8.7,0.20625,1.10488,0.926287,8.49375,8.7,0,Stereo,No_Separation,Near,Oblique,1,1
Nick1,8.7,0.20625,0.909407,0.870485,8.7,8.49375,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick1,8.7,0.825,0.87629,0.834984,8.7,7.875,1,Stereo,Separated,Near,Oblique,1,1
Nick1,8.7,0.825,1.19118,0.81906,7.875,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,0.825,0.868674,0.930505,7.875,8.7,0,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,0.825,1.10764,0.844027,8.7,7.875,1,Stereo,No_Separation,Projective,Oblique,0,0
Nick1,8.7,1.65,0.837035,0.82943,8.7,7.05,1,Stereo,Separated,Near,Oblique,0,0
Nick1,8.7,1.65,0.844537,1.09289,7.05,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,1.65,0.935835,0.811423,8.7,7.05,1,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,1.65,1.06729,0.995404,7.05,8.7,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,3.3,0.848763,1.0609,8.7,5.4,1,Stereo,Separated,Near,Oblique,0,0
Nick1,8.7,3.3,0.80982,0.974107,5.4,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Nick1,8.7,3.3,1.05104,1.16101,8.7,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,3.3,0.967109,1.06112,5.4,8.7,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick1,8.7,0.4125,1.17386,1.09221,8.7,8.2875,1,Stereo,Separated,Near,Oblique,0,0
Nick1,8.7,0.4125,1.11483,0.869079,8.7,8.2875,1,Stereo,Separated,Projective,Oblique,0,0
Nick1,8.7,0.4125,0.859765,0.896058,8.2875,8.7,0,Stereo,No_Separation,Near,Oblique,0,0
Nick1,8.7,0.4125,1.16252,0.951821,8.2875,8.7,0,Stereo,No_Separation,Projective,Oblique,1,1
