name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Bot,8.7,3.3,1.07911,1.19605,8.7,5.4,1,Stereo,Separated,Near,Oblique,1,1
Bot,8.7,3.3,1.19279,0.878289,8.7,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Bot,8.7,3.3,1.18563,0.882029,8.7,5.4,1,Stereo,Separated,Near,Oblique,1,1
Bot,8.7,3.3,0.822006,1.03781,5.4,8.7,0,Stereo,No_Separation,Projective,Oblique,0,0
Bot,8.7,3.3,1.15681,1.13915,8.7,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Bot,8.7,3.3,0.991666,1.04941,8.7,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Bot,8.7,3.3,1.1726,0.928703,8.7,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Bot,8.7,3.3,1.11097,0.854023,5.4,8.7,0,Stereo,Separated,Near,Oblique,0,0
Bot,8.7,3.3,0.832907,0.977037,5.4,8.7,0,Stereo,No_Separation,Projective,Oblique,0,0
Bot,8.7,3.3,0.945099,1.17749,8.7,5.4,1,Stereo,No_Separation,Near,Oblique,1,1
Bot,8.7,3.3,0.88564,1.04921,5.4,8.7,0,Stereo,No_Separation,Projective,Oblique,0,0
Bot,8.7,3.3,0.846511,0.860798,5.4,8.7,0,Stereo,No_Separation,Near,Oblique,0,0
Bot,8.7,3.3,1.17763,0.919661,8.7,5.4,1,Stereo,Separated,Near,Oblique,0,0
Bot,8.7,3.3,1.00246,0.915228,5.4,8.7,0,Stereo,Separated,Projective,Oblique,0,0
Bot,8.7,3.3,1.12343,0.913834,5.4,8.7,0,Stereo,Separated,Near,Oblique,0,0
Bot,8.7,3.3,0.874758,0.864015,5.4,8.7,0,Stereo,Separated,Projective,Oblique,0,0
Bot,8.7,3.3,0.873123,1.17491,8.7,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Bot,8.7,3.3,0.942468,0.911778,8.7,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Bot,8.7,3.3,0.95062,0.845796,5.4,8.7,0,Stereo,Separated,Projective,Oblique,1,1
Bot,8.7,3.3,1.10939,1.16639,8.7,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Bot,8.7,3.3,0.953751,0.81699,8.7,5.4,1,Stereo,No_Separation,Projective,Oblique,0,0
