name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
BOT,8.625,0,0.964536,1.04548,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
BOT,8.625,0,0.989311,0.957547,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,1.00751,0.998702,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
BOT,8.625,0,0.956469,1.04306,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
BOT,8.625,0,0.968854,0.96831,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,0.96069,0.993061,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
BOT,8.625,0,0.977111,1.00443,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
BOT,8.625,0,0.990824,0.955685,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
BOT,8.625,0,1.0376,0.96994,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,1.03969,1.0267,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
BOT,8.625,0,1.00951,0.974408,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
BOT,8.625,0,0.999827,1.02716,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
BOT,8.625,0,0.992274,1.0392,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
BOT,8.625,0,0.956305,1.03324,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,1.03626,0.964982,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
BOT,8.625,0,0.976674,1.0496,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
BOT,8.625,0,0.986107,1.01532,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
BOT,8.625,0,1.00698,0.993892,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,1.02591,0.982935,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
BOT,8.625,0,0.957539,0.982036,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
BOT,8.625,0,1.0411,0.987453,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,0.966018,1.01489,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,1.02365,1.04553,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
BOT,8.625,0,0.969094,1.01613,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
BOT,8.625,0,0.996927,0.965328,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
BOT,8.625,0,1.02111,1.01806,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
BOT,8.625,0,1.03096,0.977336,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
BOT,8.625,0,1.04538,1.03794,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
BOT,8.625,0,1.01836,1.04752,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
BOT,8.625,0,1.03569,1.0156,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,0.989217,0.96862,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
BOT,8.625,0,1.00536,0.969611,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
BOT,8.625,0,0.968761,1.04908,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,0.987905,1.02398,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
BOT,8.625,0,1.04508,0.956314,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
BOT,8.625,0,1.04109,0.961994,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
BOT,8.625,0,1.02604,1.03261,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,1.00855,0.965446,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,0.976691,0.978824,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
BOT,8.625,0,0.97649,0.975079,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
BOT,8.625,0,0.985059,1.03066,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,0.958493,1.03183,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,1.00371,1.03715,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
BOT,8.625,0,0.964648,1.00687,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
BOT,8.625,0,0.989084,1.01137,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,0.985546,1.03713,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
BOT,8.625,0,0.956685,0.985819,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
BOT,8.625,0,0.958657,1.0452,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
BOT,8.625,0,0.959494,0.998351,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
BOT,8.625,0,0.992411,0.976044,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
BOT,8.625,0,1.03639,0.950589,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
BOT,8.625,0,1.00178,1.00246,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
