name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Hui,8.625,3.225,0.991976,0.972398,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
Hui,8.625,3.225,0.997524,1.02426,8.625,5.4,1,Stereo,Separated,Projective,Oblique,0,0
Hui,8.625,3.225,0.960822,1.04974,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,1,1
Hui,8.625,3.225,0.991075,1.03256,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Hui,8.625,3.225,1.03951,1.04552,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
Hui,8.625,3.225,1.02222,0.966365,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Hui,8.625,3.225,0.959629,1.03811,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,1,1
Hui,8.625,3.225,0.973936,0.970609,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,0,0
Hui,8.625,0.403125,0.960507,1.02067,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Hui,8.625,0.403125,1.02104,0.996144,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Hui,8.625,0.403125,1.04536,1.03234,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,1,1
Hui,8.625,0.403125,1.0346,0.985051,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Hui,8.625,0,0.965568,0.961265,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Hui,8.625,0,1.03078,1.01282,8.625,8.625,1,Stereo,Separated,Projective,Oblique,0,0
Hui,8.625,0,1.03673,1.00181,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Hui,8.625,0,1.01379,0.958429,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,0,0
Hui,8.625,0.80625,0.95144,0.963673,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
Hui,8.625,0.80625,0.954176,0.986138,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,1,1
Hui,8.625,0.80625,0.998868,0.978967,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,1,1
Hui,8.625,0.80625,0.958001,0.976502,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Hui,8.625,1.6125,0.989064,1.03955,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
Hui,8.625,1.6125,1.022,1.02019,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Hui,8.625,1.6125,0.962255,1.04587,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,1,1
Hui,8.625,1.6125,0.976111,0.99721,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,0,0
Hui,8.625,3.225,1.03297,1.04954,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Hui,8.625,3.225,1.03415,0.96224,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Hui,8.625,3.225,0.988748,1.00004,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,1,1
Hui,8.625,3.225,1.02527,1.00049,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Hui,8.625,0.403125,1.01053,1.0495,8.22188,8.625,0,Stereo,Separated,Near,Oblique,1,1
Hui,8.625,0.403125,0.964316,1.01758,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Hui,8.625,0.403125,0.972132,1.01368,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Hui,8.625,0.403125,1.03139,1.0005,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,0,0
Hui,8.625,0,1.00215,0.995816,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Hui,8.625,0,0.959706,0.976941,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
