name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
JosieTwo,8.625,3.225,1.01788,0.952638,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,3.225,0.961451,0.967878,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,3.225,1.0163,1.02732,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,3.225,0.955761,1.03914,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0.403125,1.00005,1.04376,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,0.403125,1.04265,0.973605,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,0,0
JosieTwo,8.625,0.403125,0.974529,0.991349,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,0.403125,1.01681,1.04626,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
JosieTwo,8.625,0,1.00033,0.982548,8.625,8.625,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,0,0.95405,1.00653,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0,0.970883,0.987203,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,0,1.02367,0.95718,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
JosieTwo,8.625,0.80625,1.01575,0.995366,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,0.80625,0.975318,0.973867,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0.80625,0.988059,1.00047,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,0.80625,1.00818,1.03253,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,1.6125,0.962893,1.00399,8.625,7.0125,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,1.6125,0.980986,1.04703,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,1.6125,0.986776,0.993417,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,1.6125,0.964329,0.961194,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,3.225,0.955362,1.04353,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,3.225,0.974924,1.01974,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,3.225,1.04473,0.975557,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,3.225,1.02895,1.00027,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0.403125,1.03187,1.00761,8.22188,8.625,0,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,0.403125,0.982362,0.968857,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0.403125,1.01834,0.960517,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,0.403125,0.969707,0.991258,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0,1.01543,0.960902,8.625,8.625,1,Stereo,Separated,Near,Oblique,0,0
JosieTwo,8.625,0,1.04401,0.984217,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0,0.956933,0.965875,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,0,0.992845,0.960738,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0.80625,0.959888,1.02294,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,0.80625,0.969399,0.984203,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0.80625,0.995773,1.04316,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,0.80625,0.973368,1.03299,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,1.6125,1.00271,1.01624,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,1.6125,1.04159,1.01205,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,1.6125,1.02937,1.00665,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,1.6125,0.977768,0.994287,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,3.225,0.983622,1.00835,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,3.225,0.985995,0.95579,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,3.225,1.02122,1.03253,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,3.225,1.04354,1.01091,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0.403125,0.983355,1.0036,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,0.403125,1.00001,1.04912,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0.403125,1.00587,1.02861,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,0.403125,1.01462,1.02775,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
JosieTwo,8.625,0,1.00077,0.981278,8.625,8.625,1,Stereo,Separated,Near,Oblique,0,0
JosieTwo,8.625,0,1.00112,0.968488,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0,0.998361,0.967947,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,0,0.988374,1.02663,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0.80625,1.00873,0.99868,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,0.80625,0.963866,0.964857,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0.80625,1.00871,1.01969,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,0.80625,0.989571,0.992796,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,1,1
JosieTwo,8.625,1.6125,0.953535,1.00642,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,1.6125,0.980698,1.03667,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,1.6125,1.03849,0.983476,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,1.6125,1.01307,0.959028,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,3.225,0.967225,0.961658,5.4,8.625,0,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,3.225,1.03039,0.966293,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,3.225,1.04981,1.01421,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,3.225,0.972786,0.961372,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0.403125,0.955939,1.04553,8.22188,8.625,0,Stereo,Separated,Near,Oblique,0,0
JosieTwo,8.625,0.403125,1.0186,1.02331,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0.403125,0.973036,1.02032,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,0.403125,1.02009,0.953523,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,0,0.978594,0.993553,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
JosieTwo,8.625,0,1.03729,0.975556,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
JosieTwo,8.625,0,1.04977,1.04653,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,0,1.01931,0.960888,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
JosieTwo,8.625,0.80625,1.02346,1.03527,7.81875,8.625,0,Stereo,Separated,Near,Oblique,0,0
JosieTwo,8.625,0.80625,0.964354,1.00935,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,0,0
JosieTwo,8.625,0.80625,0.951541,1.01402,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,1,1
JosieTwo,8.625,0.80625,1.04615,1.01991,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,1.6125,0.975557,1.00898,8.625,7.0125,1,Stereo,Separated,Near,Oblique,1,1
JosieTwo,8.625,1.6125,0.986771,1.0472,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,0,0
JosieTwo,8.625,1.6125,0.956167,0.967464,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
JosieTwo,8.625,1.6125,1.00462,1.04015,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,0,0
JosieTwo,8.625,3.225,1.01695,0.968873,5.4,8.625,0,Stereo,Separated,Near,Oblique,0,0
JosieTwo,8.625,3.225,0.985609,1.02641,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
