name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Kawin,8.625,3.225,0.994414,0.958859,5.4,8.625,0,Stereo,Separated,Near,Oblique,0,0
Kawin,8.625,3.225,0.999876,1.03731,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,3.225,1.01877,1.01143,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,3.225,0.973704,1.03032,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Kawin,8.625,0.403125,0.992532,1.02056,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,0.403125,0.988714,0.996968,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,0.403125,1.04231,0.971959,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,1,1
Kawin,8.625,0.403125,0.989146,0.985201,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Kawin,8.625,0,1.02812,1.04473,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Kawin,8.625,0,0.955915,1.00384,8.625,8.625,1,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,0,1.04801,1.04133,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,0,1.03808,1.01954,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Kawin,8.625,0.80625,0.950307,1.04431,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,0.80625,0.989305,0.952787,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,0.80625,0.972263,0.982847,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,0.80625,1.04318,1.03034,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Kawin,8.625,1.6125,0.964048,0.966852,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,1.6125,1.02088,1.03099,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,1.6125,1.00091,1.03072,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,1.6125,1.01791,0.984722,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Kawin,8.625,3.225,0.995403,0.978261,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,3.225,1.01773,0.995453,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,3.225,0.985612,0.96446,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,3.225,1.04815,0.991831,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Kawin,8.625,0.403125,1.02,0.97207,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,0.403125,0.959463,0.982284,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,0.403125,0.959686,1.00271,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,1,1
Kawin,8.625,0.403125,1.02071,0.97566,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Kawin,8.625,0,1.01288,1.00145,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Kawin,8.625,0,0.95405,0.963048,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,0,0.9667,1.03843,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
Kawin,8.625,0,0.995717,1.00175,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Kawin,8.625,0.80625,1.00953,0.98273,7.81875,8.625,0,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,0.80625,1.03761,1.03564,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,0.80625,0.962276,0.968992,7.81875,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,0.80625,0.98274,1.03154,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Kawin,8.625,1.6125,1.00447,0.992741,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,1.6125,0.956201,1.00501,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,1.6125,1.00727,0.97049,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,1.6125,0.997458,1.03998,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Kawin,8.625,3.225,0.98517,1.03504,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,3.225,0.967343,1.0468,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,3.225,0.969244,0.963163,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Kawin,8.625,3.225,1.01972,1.0127,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Kawin,8.625,0.403125,1.03092,0.993508,8.22188,8.625,0,Stereo,Separated,Near,Oblique,1,1
Kawin,8.625,0.403125,1.03829,0.985079,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Kawin,8.625,0.403125,1.0103,1.00724,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
