name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Nick,8.625,3.225,1.00874,0.988768,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Nick,8.625,3.225,1.04207,0.952232,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,3.225,0.967618,1.01865,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,3.225,1.01307,1.01003,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,0.403125,1.03613,1.0123,8.22188,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick,8.625,0.403125,1.00098,0.957256,8.625,8.22188,1,Stereo,Separated,Projective,Oblique,0,0
Nick,8.625,0.403125,0.999314,0.994864,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,0.403125,1.01019,1.01862,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,0,0.998754,0.966943,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick,8.625,0,0.991591,0.967872,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick,8.625,0,0.986912,1.02186,8.625,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,0,0.978024,0.959974,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,0.80625,0.991538,0.97681,7.81875,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick,8.625,0.80625,0.998603,0.982157,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,0.80625,0.97354,0.986691,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,0.80625,1.00717,0.977341,7.81875,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Nick,8.625,1.6125,1.03241,1.01982,7.0125,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick,8.625,1.6125,0.976886,1.0043,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,1.6125,1.04423,1.0076,7.0125,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,1.6125,0.992354,0.956293,8.625,7.0125,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,3.225,1.039,1.02537,5.4,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick,8.625,3.225,0.962178,0.993688,5.4,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,3.225,0.983459,1.03902,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick,8.625,3.225,0.991207,1.04256,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,0.403125,1.01318,1.03207,8.625,8.22188,1,Stereo,Separated,Near,Oblique,0,0
Nick,8.625,0.403125,0.991832,0.988665,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,0.403125,1.01253,1.00284,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,1,1
Nick,8.625,0.403125,1.04384,1.03084,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,0,0.989928,0.989575,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick,8.625,0,1.03939,0.95622,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,0,0.964293,0.986549,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,0,1.00305,1.00287,8.625,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Nick,8.625,0.80625,0.976459,1.00131,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
Nick,8.625,0.80625,0.979112,1.02028,7.81875,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,0.80625,1.00004,1.01856,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,0.80625,0.987948,1.03294,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,1.6125,0.98397,1.01962,7.0125,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick,8.625,1.6125,0.9872,1.03919,7.0125,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,1.6125,1.04773,1.0263,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,1.6125,1.04659,1.00069,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,3.225,0.990247,1.0157,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Nick,8.625,3.225,1.0466,0.965318,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,3.225,0.959825,0.999105,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,1,1
Nick,8.625,3.225,0.953085,0.97798,5.4,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,0.403125,1.03085,1.01271,8.22188,8.625,0,Stereo,Separated,Near,Oblique,1,1
Nick,8.625,0.403125,1.03384,1.03899,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Nick,8.625,0.403125,0.953792,1.01149,8.625,8.22188,1,Stereo,No_Separation,Near,Oblique,0,0
Nick,8.625,0.403125,1.00951,1.04215,8.22188,8.625,0,Stereo,No_Separation,Projective,Oblique,1,1
Nick,8.625,0,0.986146,1.0199,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Nick,8.625,0,0.95223,1.04619,8.625,8.625,0,Stereo,Separated,Projective,Oblique,1,1
Nick,8.625,0,0.979983,0.959308,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,0,0
