name, depth, offset,  scale0, scale1, dist0, dist1, correctanswer, viewtype, interoculartype, blend, projection, answer, correct
Bot20,8.625,3.225,0.985954,1.04921,8.625,5.4,1,Stereo,Separated,Near,Oblique,1,1
Bot20,8.625,3.225,1.02958,1.00449,5.4,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Bot20,8.625,3.225,0.95372,1.02395,5.4,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Bot20,8.625,3.225,0.964172,1.00909,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
Bot20,8.625,0.403125,0.986596,0.992731,8.625,8.22188,1,Stereo,Separated,Near,Oblique,1,1
Bot20,8.625,0.403125,1.02127,1.0114,8.22188,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Bot20,8.625,0.403125,0.988961,0.96108,8.22188,8.625,0,Stereo,No_Separation,Near,Oblique,0,0
Bot20,8.625,0.403125,1.0189,1.04417,8.625,8.22188,1,Stereo,No_Separation,Projective,Oblique,1,1
Bot20,8.625,0,0.993986,0.961972,8.625,8.625,0,Stereo,Separated,Near,Oblique,0,0
Bot20,8.625,0,0.992018,0.984127,8.625,8.625,0,Stereo,Separated,Projective,Oblique,0,0
Bot20,8.625,0,1.04446,0.994541,8.625,8.625,1,Stereo,No_Separation,Near,Oblique,1,1
Bot20,8.625,0,1.03303,0.951253,8.625,8.625,1,Stereo,No_Separation,Projective,Oblique,1,1
Bot20,8.625,0.80625,1.03368,1.00189,8.625,7.81875,1,Stereo,Separated,Near,Oblique,1,1
Bot20,8.625,0.80625,1.00346,0.99706,8.625,7.81875,1,Stereo,Separated,Projective,Oblique,1,1
Bot20,8.625,0.80625,1.00848,1.02632,8.625,7.81875,1,Stereo,No_Separation,Near,Oblique,1,1
Bot20,8.625,0.80625,1.00066,1.01207,8.625,7.81875,1,Stereo,No_Separation,Projective,Oblique,1,1
Bot20,8.625,1.6125,0.96698,1.0474,7.0125,8.625,0,Stereo,Separated,Near,Oblique,0,0
Bot20,8.625,1.6125,1.01522,1.02757,8.625,7.0125,1,Stereo,Separated,Projective,Oblique,1,1
Bot20,8.625,1.6125,0.980208,0.997457,8.625,7.0125,1,Stereo,No_Separation,Near,Oblique,1,1
Bot20,8.625,1.6125,1.0257,1.02864,7.0125,8.625,0,Stereo,No_Separation,Projective,Oblique,0,0
Bot20,8.625,3.225,0.994927,1.03377,5.4,8.625,0,Stereo,Separated,Near,Oblique,0,0
Bot20,8.625,3.225,1.00909,1.02455,8.625,5.4,1,Stereo,Separated,Projective,Oblique,1,1
Bot20,8.625,3.225,0.954798,0.962987,8.625,5.4,1,Stereo,No_Separation,Near,Oblique,1,1
Bot20,8.625,3.225,1.04682,0.979938,8.625,5.4,1,Stereo,No_Separation,Projective,Oblique,1,1
